penalty,mixture,.metric,.estimator,mean,n,std_err,.config
0.001,0.16666666666666666,roc_auc,binary,0.6142857142857143,25,0.03523822930047428,Preprocessor1_Model10
0.01,0.16666666666666666,accuracy,binary,0.5894545454545455,25,0.027577489123125187,Preprocessor1_Model11
0.01,0.16666666666666666,pr_auc,binary,0.7375195492338349,25,0.026644232917622294,Preprocessor1_Model11
0.01,0.16666666666666666,roc_auc,binary,0.6064285714285714,25,0.0329041962370692,Preprocessor1_Model11
0.1,0.16666666666666666,accuracy,binary,0.6072727272727273,25,0.02594760561043351,Preprocessor1_Model12
0.1,0.16666666666666666,pr_auc,binary,0.7925831615474472,25,0.020892162421101555,Preprocessor1_Model12
0.1,0.16666666666666666,roc_auc,binary,0.6611904761904762,25,0.030114812425742283,Preprocessor1_Model12
1,0.16666666666666666,accuracy,binary,0.6145454545454545,25,0.0036363636363636377,Preprocessor1_Model13
1,0.16666666666666666,pr_auc,binary,0.8608344327630042,25,0.0196166847751348,Preprocessor1_Model13
1,0.16666666666666666,roc_auc,binary,0.8083333333333333,25,0.023512532641807186,Preprocessor1_Model13
10,0.16666666666666666,accuracy,binary,0.6145454545454545,25,0.0036363636363636377,Preprocessor1_Model14
10,0.16666666666666666,pr_auc,binary,0.8072727272727273,25,0.0018181818181818078,Preprocessor1_Model14
10,0.16666666666666666,roc_auc,binary,0.5,25,0,Preprocessor1_Model14
1e-5,0.3333333333333333,accuracy,binary,0.6010909090909091,25,0.026568275785923984,Preprocessor1_Model15
1e-5,0.3333333333333333,pr_auc,binary,0.7288468357039786,25,0.02803947220655768,Preprocessor1_Model15
1e-5,0.3333333333333333,roc_auc,binary,0.6078571428571429,25,0.035354203287562024,Preprocessor1_Model15
1e-4,0.3333333333333333,accuracy,binary,0.6010909090909091,25,0.026568275785923984,Preprocessor1_Model16
1e-4,0.3333333333333333,pr_auc,binary,0.7292191300762729,25,0.02811918413749186,Preprocessor1_Model16
1e-4,0.3333333333333333,roc_auc,binary,0.6092857142857143,25,0.035561644709602554,Preprocessor1_Model16
0.001,0.3333333333333333,accuracy,binary,0.5970909090909091,25,0.025404279373135535,Preprocessor1_Model17
0.001,0.3333333333333333,pr_auc,binary,0.7343105888820174,25,0.0268370516784359,Preprocessor1_Model17
0.001,0.3333333333333333,roc_auc,binary,0.6142857142857143,25,0.03431794120333233,Preprocessor1_Model17
0.01,0.3333333333333333,accuracy,binary,0.5847272727272728,25,0.02539343313301673,Preprocessor1_Model18
0.01,0.3333333333333333,pr_auc,binary,0.7411892049749192,25,0.027188565915982992,Preprocessor1_Model18
0.01,0.3333333333333333,roc_auc,binary,0.6116666666666667,25,0.03352108405677907,Preprocessor1_Model18
0.1,0.3333333333333333,accuracy,binary,0.649090909090909,25,0.025422057189290116,Preprocessor1_Model19
0.1,0.3333333333333333,pr_auc,binary,0.8091330825259396,25,0.02265235215225215,Preprocessor1_Model19
0.1,0.3333333333333333,roc_auc,binary,0.7080952380952381,25,0.028948161111649762,Preprocessor1_Model19
1,0.3333333333333333,accuracy,binary,0.6145454545454545,25,0.0036363636363636377,Preprocessor1_Model20
1,0.3333333333333333,pr_auc,binary,0.8072727272727273,25,0.0018181818181818078,Preprocessor1_Model20
1,0.3333333333333333,roc_auc,binary,0.5,25,0,Preprocessor1_Model20
10,0.3333333333333333,accuracy,binary,0.6145454545454545,25,0.0036363636363636377,Preprocessor1_Model21
10,0.3333333333333333,pr_auc,binary,0.8072727272727273,25,0.0018181818181818078,Preprocessor1_Model21
10,0.3333333333333333,roc_auc,binary,0.5,25,0,Preprocessor1_Model21
1e-5,0.5,accuracy,binary,0.6083636363636363,25,0.025883400341205953,Preprocessor1_Model22
1e-5,0.5,pr_auc,binary,0.7289602143887858,25,0.028458818331885932,Preprocessor1_Model22
1e-5,0.5,roc_auc,binary,0.6107142857142857,25,0.03635503263072741,Preprocessor1_Model22
1e-4,0.5,accuracy,binary,0.6047272727272727,25,0.024891610765504456,Preprocessor1_Model23
1e-4,0.5,pr_auc,binary,0.7309375386518243,25,0.028728091725310944,Preprocessor1_Model23
1e-4,0.5,roc_auc,binary,0.6123809523809524,25,0.036483644437109816,Preprocessor1_Model23
0.001,0.5,accuracy,binary,0.5970909090909091,25,0.024414465296264003,Preprocessor1_Model24
0.001,0.5,pr_auc,binary,0.7270142925857211,25,0.027819487463667435,Preprocessor1_Model24
0.001,0.5,roc_auc,binary,0.6076190476190476,25,0.03453564383921729,Preprocessor1_Model24
0.01,0.5,accuracy,binary,0.5807272727272728,25,0.02427074103778902,Preprocessor1_Model25
0.01,0.5,pr_auc,binary,0.7367096131381845,25,0.026231357406991323,Preprocessor1_Model25
0.01,0.5,roc_auc,binary,0.6033333333333333,25,0.03191771532826662,Preprocessor1_Model25
0.1,0.5,accuracy,binary,0.6989090909090909,25,0.021839131356402523,Preprocessor1_Model26
0.1,0.5,pr_auc,binary,0.8233114993472136,25,0.02344721704981752,Preprocessor1_Model26
0.1,0.5,roc_auc,binary,0.7376190476190476,25,0.02870117695459521,Preprocessor1_Model26
1,0.5,accuracy,binary,0.6145454545454545,25,0.0036363636363636377,Preprocessor1_Model27
1,0.5,pr_auc,binary,0.8072727272727273,25,0.0018181818181818078,Preprocessor1_Model27
1,0.5,roc_auc,binary,0.5,25,0,Preprocessor1_Model27
10,0.5,accuracy,binary,0.6145454545454545,25,0.0036363636363636377,Preprocessor1_Model28
10,0.5,pr_auc,binary,0.8072727272727273,25,0.0018181818181818078,Preprocessor1_Model28
10,0.5,roc_auc,binary,0.5,25,0,Preprocessor1_Model28
1e-5,0.6666666666666666,accuracy,binary,0.6083636363636363,25,0.027538703042976738,Preprocessor1_Model29
