penalty,mixture,.metric,.estimator,mean,n,std_err,.config
0.01,0.16666666666666666,mae,standard,8.220428538576863,25,0.34418545930011135,Preprocessor1_Model11
0.01,0.16666666666666666,rmse,standard,10.108544979887288,25,0.42801021568361824,Preprocessor1_Model11
0.01,0.16666666666666666,rsq,standard,0.35139790090206685,25,0.03661166696789489,Preprocessor1_Model11
0.1,0.16666666666666666,mae,standard,8.006998075786836,25,0.3258410836726966,Preprocessor1_Model12
0.1,0.16666666666666666,rmse,standard,9.828726889556734,25,0.3928130050238783,Preprocessor1_Model12
0.1,0.16666666666666666,rsq,standard,0.3652520440416207,25,0.03528883454049394,Preprocessor1_Model12
1,0.16666666666666666,mae,standard,7.058451281945299,25,0.2855050053011472,Preprocessor1_Model13
1,0.16666666666666666,rmse,standard,8.828810618539151,25,0.3143069974751424,Preprocessor1_Model13
1,0.16666666666666666,rsq,standard,0.42767256326656017,25,0.03174613645794251,Preprocessor1_Model13
10,0.16666666666666666,mae,standard,7.308369381243627,25,0.27391180281071875,Preprocessor1_Model14
10,0.16666666666666666,rmse,standard,8.644471019010991,25,0.286770488720561,Preprocessor1_Model14
10,0.16666666666666666,rsq,standard,0.545002575674591,25,0.025238191084253663,Preprocessor1_Model14
1e-5,0.3333333333333333,mae,standard,8.233359776993376,25,0.34567462855799863,Preprocessor1_Model15
1e-5,0.3333333333333333,rmse,standard,10.12807180841825,25,0.43160839880448465,Preprocessor1_Model15
1e-5,0.3333333333333333,rsq,standard,0.350487212215905,25,0.03675178172156316,Preprocessor1_Model15
1e-4,0.3333333333333333,mae,standard,8.233359776993376,25,0.34567462855799863,Preprocessor1_Model16
1e-4,0.3333333333333333,rmse,standard,10.12807180841825,25,0.43160839880448465,Preprocessor1_Model16
1e-4,0.3333333333333333,rsq,standard,0.350487212215905,25,0.03675178172156316,Preprocessor1_Model16
0.001,0.3333333333333333,mae,standard,8.233359776993376,25,0.34567462855799863,Preprocessor1_Model17
0.001,0.3333333333333333,rmse,standard,10.12807180841825,25,0.43160839880448465,Preprocessor1_Model17
0.001,0.3333333333333333,rsq,standard,0.350487212215905,25,0.03675178172156316,Preprocessor1_Model17
0.01,0.3333333333333333,mae,standard,8.220010272005352,25,0.3437353682393743,Preprocessor1_Model18
0.01,0.3333333333333333,rmse,standard,10.103013374977095,25,0.4261279342298536,Preprocessor1_Model18
0.01,0.3333333333333333,rsq,standard,0.35168401880288863,25,0.03657248853959886,Preprocessor1_Model18
0.1,0.3333333333333333,mae,standard,7.913072520846312,25,0.31853110743657725,Preprocessor1_Model19
0.1,0.3333333333333333,rmse,standard,9.721002757994517,25,0.38255362504019075,Preprocessor1_Model19
0.1,0.3333333333333333,rsq,standard,0.37085792574610715,25,0.03502756677552469,Preprocessor1_Model19
1,0.3333333333333333,mae,standard,6.844197652622726,25,0.2798794710470351,Preprocessor1_Model20
