mtry,trees,min_n,tree_depth,learn_rate,loss_reduction,.metric,.estimator,mean,n,std_err,.config
14,483,9,5,1.7702865333875313,19.17697523229199,roc_auc,binary,0.5,25,0,Preprocessor1_Model22
8,1045,4,6,1.1403467466391222,7.0160624478640266,accuracy,binary,0.6076363636363636,25,0.017765537567686222,Preprocessor1_Model23
8,1045,4,6,1.1403467466391222,7.0160624478640266,pr_auc,binary,0.7892770562770562,25,0.013408833111318639,Preprocessor1_Model23
8,1045,4,6,1.1403467466391222,7.0160624478640266,roc_auc,binary,0.5854761904761905,25,0.018119370916749436,Preprocessor1_Model23
8,509,14,6,1.3191796711924422,7.249445989830403e-8,accuracy,binary,0.6145454545454545,25,0.0036363636363636377,Preprocessor1_Model24
8,509,14,6,1.3191796711924422,7.249445989830403e-8,pr_auc,binary,0.8072727272727273,25,0.0018181818181818078,Preprocessor1_Model24
8,509,14,6,1.3191796711924422,7.249445989830403e-8,roc_auc,binary,0.5,25,0,Preprocessor1_Model24
16,368,7,6,1.3502704884498185,0.04057839578234916,accuracy,binary,0.6145454545454545,25,0.0036363636363636377,Preprocessor1_Model25
16,368,7,6,1.3502704884498185,0.04057839578234916,pr_auc,binary,0.8072727272727273,25,0.0018181818181818078,Preprocessor1_Model25
16,368,7,6,1.3502704884498185,0.04057839578234916,roc_auc,binary,0.5,25,0,Preprocessor1_Model25
5,982,11,6,1.3853533826089863,3.991020591680114e-6,accuracy,binary,0.6145454545454545,25,0.0036363636363636377,Preprocessor1_Model26
5,982,11,6,1.3853533826089863,3.991020591680114e-6,pr_auc,binary,0.8072727272727273,25,0.0018181818181818078,Preprocessor1_Model26
5,982,11,6,1.3853533826089863,3.991020591680114e-6,roc_auc,binary,0.5,25,0,Preprocessor1_Model26
17,1275,14,6,1.5182997508787703,3.356384041692663e-7,accuracy,binary,0.6145454545454545,25,0.0036363636363636377,Preprocessor1_Model27
17,1275,14,6,1.5182997508787703,3.356384041692663e-7,pr_auc,binary,0.8072727272727273,25,0.0018181818181818078,Preprocessor1_Model27
17,1275,14,6,1.5182997508787703,3.356384041692663e-7,roc_auc,binary,0.5,25,0,Preprocessor1_Model27
5,536,13,6,1.7555846588935116,7.421291501439794e-5,accuracy,binary,0.6145454545454545,25,0.0036363636363636377,Preprocessor1_Model28
5,536,13,6,1.7555846588935116,7.421291501439794e-5,pr_auc,binary,0.8072727272727273,25,0.0018181818181818078,Preprocessor1_Model28
5,536,13,6,1.7555846588935116,7.421291501439794e-5,roc_auc,binary,0.5,25,0,Preprocessor1_Model28
12,1316,12,6,1.8297044384248542,3.391646226663319e-6,accuracy,binary,0.6145454545454545,25,0.0036363636363636377,Preprocessor1_Model29
12,1316,12,6,1.8297044384248542,3.391646226663319e-6,pr_auc,binary,0.8072727272727273,25,0.0018181818181818078,Preprocessor1_Model29
12,1316,12,6,1.8297044384248542,3.391646226663319e-6,roc_auc,binary,0.5,25,0,Preprocessor1_Model29
6,1137,13,6,1.8482502586543426,1.2803076406104112e-7,accuracy,binary,0.6145454545454545,25,0.0036363636363636377,Preprocessor1_Model30
6,1137,13,6,1.8482502586543426,1.2803076406104112e-7,pr_auc,binary,0.8072727272727273,25,0.0018181818181818078,Preprocessor1_Model30
6,1137,13,6,1.8482502586543426,1.2803076406104112e-7,roc_auc,binary,0.5,25,0,Preprocessor1_Model30
